iter	Passed	Remaining
0	8	700
1	15	653
2	19	546
3	23	491
4	28	467
5	32	449
6	37	434
7	41	410
8	44	390
9	47	374
10	51	358
11	54	345
12	58	336
13	62	329
14	65	319
15	68	310
16	72	300
17	76	295
18	80	292
19	84	287
20	87	280
21	92	276
22	95	270
23	140	373
24	145	365
25	149	355
26	159	359
27	162	347
28	165	336
29	168	326
30	172	316
31	176	308
32	179	299
33	182	290
34	187	283
35	191	276
36	195	270
37	199	262
38	202	254
39	207	248
40	210	241
41	214	234
42	217	227
43	220	220
44	224	214
45	228	208
46	231	201
47	234	195
48	238	189
49	241	183
50	244	177
51	248	171
52	251	166
53	254	160
54	258	155
55	262	149
56	265	144
57	269	139
58	272	133
59	275	128
60	278	123
61	282	118
62	285	113
63	289	108
64	292	103
65	295	98
66	299	93
67	302	89
68	306	84
69	310	79
70	313	75
71	317	70
72	321	66
73	324	61
74	327	56
75	330	52
76	334	47
77	337	43
78	340	38
79	343	34
80	347	30
81	351	25
82	354	21
83	357	17
84	361	12
85	365	8
86	368	4
87	372	0
